2026-07-01 08:07:42.361 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - Chanson 'Antanambao' uploadee avec succes
2026-07-01 08:07:42.362 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Antanambao.MP3
2026-07-01 08:07:42.384 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Antanambao.MP3
2026-07-01 08:07:42.385 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 08:07:42.391 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : IAO
2026-07-01 08:07:42.495 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Chanson 'IAO' uploadee avec succes
2026-07-01 08:07:42.495 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\IAO.MP3
2026-07-01 08:07:42.520 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\IAO.MP3
2026-07-01 08:50:20.318 [Thread-P3] WARN  com.mp3.desktop.Programme3 - Programme 3 interrompu
2026-07-01 08:50:32.464 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-07-01 08:50:32.470 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Blacklist chargee : 0 genre(s) bloques, 0 artiste(s) bloques.
2026-07-01 08:50:32.490 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-07-01 09:21:32.755 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-07-01 09:21:32.756 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Blacklist chargee : 0 genre(s) bloques, 0 artiste(s) bloques.
2026-07-01 09:21:32.758 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Limite de duree chargee : 3600 secondes (60 min)
2026-07-01 09:21:32.779 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-07-01 09:29:43.456 [pool-1-thread-212] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:29:43.549 [pool-1-thread-212] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : IAO
2026-07-01 09:29:43.781 [pool-1-thread-212] INFO  com.mp3.desktop.Programme3 - Chanson 'IAO' uploadee avec succes
2026-07-01 09:29:43.781 [pool-1-thread-212] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\IAO.MP3
2026-07-01 09:29:43.821 [pool-1-thread-212] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\IAO.MP3
2026-07-01 09:31:22.150 [Thread-P3] WARN  com.mp3.desktop.Programme3 - Programme 3 interrompu
2026-07-01 09:31:32.932 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-07-01 09:31:32.935 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Blacklist chargee : 0 genre(s) bloques, 0 artiste(s) bloques.
2026-07-01 09:31:32.935 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Limite de duree chargee : 180 secondes (3 min)
2026-07-01 09:31:32.943 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-07-01 09:31:52.648 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:31:52.649 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:32:02.689 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:32:02.690 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:32:12.622 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:32:12.622 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:32:22.636 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:32:22.636 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:32:32.667 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:32:32.667 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:32:42.708 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:32:42.709 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:32:52.739 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:32:52.739 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:33:02.752 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:33:02.752 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:33:12.781 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:33:12.781 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:33:22.805 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:33:22.805 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:33:32.862 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:33:32.862 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:33:42.859 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:33:42.863 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:33:52.895 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:33:52.895 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:34:02.929 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:34:02.929 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:34:12.975 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:34:12.975 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:34:23.004 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:34:23.004 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:34:33.049 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:34:33.049 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:34:43.087 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:34:43.087 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:34:53.096 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:34:53.096 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:35:03.109 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:35:03.109 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
