2026-06-22 16:14:51.002 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - DOUBLON detecte pour (hash=e323c321959edeb00a960d7cba97d8a8): ?Rotoroto. On ne l'envoie pas.
2026-06-22 16:14:51.033 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\ROTOROTO - REKO(MP3_160K).mp3
2026-06-22 16:14:51.034 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Tongasoa
2026-06-22 16:14:51.041 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Tongasoa
2026-06-22 16:14:51.053 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Chanson '?Tongasoa' ajoutee avec succes (ID=14.0)
2026-06-22 16:14:51.053 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-06-22 16:14:51.085 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-06-22 16:19:20.384 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Happier Than Ever
2026-06-22 16:19:20.390 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Happier Than Ever
2026-06-22 16:19:20.402 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Chanson '?Happier Than Ever' ajoutee avec succes (ID=15.0)
2026-06-22 16:19:20.404 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 16:19:20.414 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 16:19:20.443 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 16:19:20.452 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 16:19:20.465 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Chanson '?HATRAIZA / AZA AVELA - REKO' ajoutee avec succes (ID=16.0)
2026-06-22 16:19:20.466 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 16:19:20.479 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 16:19:20.481 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Louane - Maman (2015) Official Music Video
2026-06-22 16:19:20.489 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Louane - Maman (2015) Official Music Video
2026-06-22 16:19:20.501 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Chanson '?Louane - Maman (2015) Official Music Video' ajoutee avec succes (ID=17.0)
2026-06-22 16:19:20.501 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Louane - Maman (2015) Official Music Video(MP3_160K).mp3
2026-06-22 16:19:20.516 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Louane - Maman (2015) Official Music Video(MP3_160K).mp3
2026-06-22 16:19:20.528 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)
2026-06-22 16:19:20.542 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)
2026-06-22 16:19:20.554 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - Chanson 'Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)' ajoutee avec succes (ID=18.0)
2026-06-22 16:19:20.554 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD).mp3
2026-06-22 16:19:20.566 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD).mp3
2026-06-22 16:19:20.586 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Misia
2026-06-22 16:19:20.593 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Misia
2026-06-22 16:19:20.602 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Chanson '?Misia' ajoutee avec succes (ID=19.0)
2026-06-22 16:19:20.602 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
2026-06-22 16:19:20.643 [pool-1-thread-1583] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
2026-06-22 16:19:20.644 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?MITONIA - REKO (Official lyrics video)
2026-06-22 16:19:20.650 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?MITONIA - REKO (Official lyrics video)
2026-06-22 16:19:20.660 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Chanson '?MITONIA - REKO (Official lyrics video)' ajoutee avec succes (ID=20.0)
2026-06-22 16:19:20.660 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MITONIA - REKO (Official lyrics video)(MP3_160K).mp3
2026-06-22 16:19:20.691 [pool-1-thread-1584] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MITONIA - REKO (Official lyrics video)(MP3_160K).mp3
2026-06-22 16:19:20.691 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Ny Anaranao
2026-06-22 16:19:20.691 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Ny Anaranao
2026-06-22 16:19:20.711 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - Chanson '?Ny Anaranao' ajoutee avec succes (ID=21.0)
2026-06-22 16:19:20.711 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\NY ANARANAO - REKO(MP3_160K).mp3
2026-06-22 16:19:20.763 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\NY ANARANAO - REKO(MP3_160K).mp3
